timestamp,actual,raw_340,raw_348,average_3,median_5,median_7,ema_0.2,ema_0.5,hybrid_med_ema,kalman,mad_filter
52479,15.5,15.079,15.4338,15.4338,15.4338,15.4338,15.4338,15.4338,15.4338,15.4338,15.4338
53479,15.5,15.079,15.4338,15.4338,15.4338,15.4338,15.4338,15.4338,15.4338,15.4338,15.4338
54479,15.5,15.062000000000001,15.4164,15.427999999999999,15.4338,15.4338,15.43032,15.4251,15.4338,15.428176912991512,15.4338
55479,15.5,15.062000000000001,15.4164,15.422199999999998,15.4338,15.4338,15.427536000000002,15.42075,15.4338,15.42529383483851,15.4251
56479,15.5,16.422,16.8084,15.8804,15.4338,15.4338,15.703708800000001,16.114575,15.4338,15.698191543780727,15.4251
57479,15.5,15.079,15.4338,15.8862,15.4338,15.4338,15.649727040000002,15.7741875,15.4338,15.654437412127109,15.4251
58479,15.5,16.422,16.8084,16.350199999999997,15.4338,15.4338,15.881461632000002,16.29129375,15.4338,15.819139328121361,15.422199999999998
59479,15.5,15.079,15.4338,15.892000000000001,15.4338,15.4338,15.791929305600002,15.862546875,15.4338,15.770715401314611,15.427999999999999
60479,15.5,15.419,15.781799999999999,16.008,15.781799999999999,15.4338,15.789903444480002,15.822173437499998,15.5034,15.771961590141181,15.5498
61479,15.5,15.062000000000001,15.4164,15.543999999999999,15.4338,15.4338,15.715202755584002,15.619286718749999,15.48948,15.735740331784383,15.427999999999999
62479,15.5,15.079,15.4338,15.543999999999999,15.4338,15.4338,15.658922204467203,15.526543359375,15.478344000000002,15.707576762834545,15.427999999999999
63479,15.5,16.405,16.791,15.8804,15.4338,15.4338,15.885337763573762,16.1587716796875,15.469435200000001,15.800917104863478,15.427999999999999
64479,15.5,15.062000000000001,15.4164,15.8804,15.4338,15.4338,15.791550210859011,15.78758583984375,15.462308160000001,15.770091749129266,15.422199999999998
65479,15.5,16.422,16.8084,16.3386,15.4338,15.4338,15.994920168687209,16.297992919921874,15.456606528000002,15.848040668048414,15.422199999999998
66479,15.5,15.079,15.4338,15.8862,15.4338,15.4338,15.882696134949768,15.865896459960936,15.452045222400002,15.818755915363676,15.427999999999999
67479,15.5,16.405,16.791,16.3444,16.791,15.4338,16.064356907959816,16.328448229980467,15.719836177920003,15.883797796316065,16.7968
68479,15.5,16.422,16.8084,16.3444,16.791,16.791,16.213165526367852,16.568424114990233,15.934068942336003,15.942585489892506,16.802599999999998
69479,15.5,16.422,16.8084,16.802599999999998,16.8084,16.791,16.332212421094283,16.688412057495114,16.108935153868803,15.9951091214619,16.8084
70479,15.5,15.079,15.4338,16.350199999999997,16.791,16.791,16.152529936875425,16.061106028747556,16.24534812309504,15.962507017355936,16.802599999999998
71479,15.5,15.062000000000001,15.4164,15.8862,16.791,16.791,16.00530394950034,15.738753014373778,16.354478498476034,15.932041736579867,16.802599999999998
72479,15.5,16.422,16.8084,15.8862,16.8084,16.791,16.165923159600275,16.27357650718689,16.445262798780828,15.979132742013771,16.8084
73479,15.5,16.422,16.8084,16.344399999999997,16.8084,16.8084,16.29441852768022,16.540988253593444,16.517890239024663,16.022167104579434,16.8084
74479,15.5,15.436000000000002,15.799199999999999,16.471999999999998,15.799199999999999,16.8084,16.195374822144178,16.17009412679672,16.374152191219732,16.010965866970427,15.5498
75479,15.5,15.079,15.4338,16.0138,15.799199999999999,15.799199999999999,16.043059857715342,15.801947063398359,16.259161752975785,15.982834870826185,15.5498
76479,15.5,15.079,15.4338,15.555599999999998,15.799199999999999,15.4338,15.921207886172274,15.617873531699178,16.16716940238063,15.956819921731938,15.555599999999998
77479,15.5,15.079,15.4338,15.4338,15.4338,15.4338,15.82372630893782,15.52583676584959,16.020495521904504,15.932682464371396,15.4338
78479,15.5,15.079,15.4338,15.4338,15.4338,15.4338,15.745741047150256,15.479818382924794,15.903156417523604,15.910219218103501,15.4338
79479,15.5,15.062000000000001,15.4164,15.427999999999999,15.4338,15.4338,15.679872837720206,15.448109191462397,15.809285134018884,15.888490257783877,15.4338
80479,15.5,15.062000000000001,15.4164,15.422199999999998,15.4338,15.4338,15.627178270176165,15.432254595731198,15.734188107215108,15.868160211453164,15.4338
81479,15.5,16.422,16.8084,15.8804,15.4338,15.4338,15.863422616140932,16.1203272978656,15.674110485772086,15.907842293649212,15.4251
82479,15.5,15.079,15.4338,15.8862,15.4338,15.4338,15.777498092912746,15.777063648932799,15.62604838861767,15.888209871843765,15.4251
83479,15.5,16.422,16.8084,16.350199999999997,15.4338,15.4338,15.983678474330198,16.2927318244664,15.587598710894136,15.925651572315548,15.422199999999998
84479,15.5,15.062000000000001,15.4164,15.8862,15.4338,15.4338,15.870222779464159,15.8545659122332,15.55683896871531,15.90527098501016,15.422199999999998
85479,15.5,15.062000000000001,15.4164,15.8804,15.4338,15.4164,15.779458223571329,15.6354829561166,15.532231174972248,15.88600737742693,15.422199999999998
86479,15.5,15.079,15.4338,15.422199999999998,15.4338,15.4338,15.710326578857064,15.534641478058301,15.512544939977799,15.868445827143379,15.4251
87479,15.5,15.062000000000001,15.4164,15.422199999999998,15.4164,15.4338,15.651541263085653,15.47552073902915,15.49331595198224,15.85112834952661,15.416400000000001
88479,15.5,16.405,16.791,15.8804,15.4164,15.4338,15.879433010468523,16.133260369514574,15.477932761585793,15.886676509684593,15.416400000000001
89479,15.5,15.062000000000001,15.4164,15.874600000000001,15.4164,15.4164,15.78682640837482,15.774830184757286,15.465626209268635,15.869101568240843,15.416400000000001
90479,15.5,15.079,15.4338,15.8804,15.4338,15.4164,15.716221126699857,15.604315092378643,15.459260967414908,15.853015633026835,15.4251
91479,15.5,15.062000000000001,15.4164,15.422199999999998,15.4164,15.4164,15.656256901359887,15.510357546189322,15.450688773931928,15.837050457794701,15.416400000000001
92479,15.5,15.062000000000001,15.4164,15.422199999999998,15.4164,15.4164,15.608285521087911,15.46337877309466,15.443831019145543,15.821820534016476,15.416400000000001
93479,15.5,15.079,15.4338,15.422199999999998,15.4164,15.4164,15.57338841687033,15.44858938654733,15.438344815316436,15.807901831728609,15.416400000000001
94479,15.5,15.079,15.4338,15.427999999999999,15.4338,15.4338,15.545470733496265,15.441194693273665,15.437435852253149,15.794598802608087,15.4338
95479,15.5,16.405,16.791,15.8862,15.4338,15.4338,15.794576586797012,16.116097346636835,15.43670868180252,15.829742301789922,15.4251
96479,15.5,15.079,15.4338,15.8862,15.4338,15.4338,15.72242126943761,15.774948673318416,15.436126945442016,15.81588395235134,15.4338
97479,15.5,15.079,15.4338,15.8862,15.4338,15.4338,15.66469701555009,15.604374336659209,15.435661556353613,15.80260657215845,15.4338
98479,15.5,15.062000000000001,15.4164,15.427999999999999,15.4338,15.4338,15.615037612440073,15.510387168329604,15.435289245082892,15.789276281355997,15.4338
99479,15.5,15.079,15.4338,15.427999999999999,15.4338,15.4338,15.57879008995206,15.472093584164803,15.434991396066314,15.777084212802292,15.4338
100479,15.5,15.062000000000001,15.4164,15.422199999999998,15.4338,15.4338,15.54631207196165,15.444246792082401,15.434753116853052,15.764786907548238,15.4338
101479,15.5,16.422,16.8084,15.8862,15.4338,15.4338,15.79872965756932,16.1263233960412,15.434562493482442,15.800170112156334,15.4251
102479,15.5,15.062000000000001,15.4164,15.8804,15.4164,15.4338,15.722263726055457,15.7713616980206,15.430929994785954,15.787226586844879,15.416400000000001
103479,15.5,15.079,15.4338,15.8862,15.4338,15.4338,15.664570980844367,15.6025808490103,15.431503995828765,15.77536496185431,15.4251
104479,15.5,15.079,15.4338,15.427999999999999,15.4338,15.4338,15.618416784675494,15.51819042450515,15.431963196663013,15.763954243851595,15.4251
105479,15.5,15.062000000000001,15.4164,15.427999999999999,15.4338,15.4338,15.578013427740396,15.467295212252575,15.432330557330411,15.75239365381763,15.4251
